Photon Energy	Psi	Delta

1.242747	43.291	157.002
1.246221	43.281	156.920
1.249216	43.272	156.848
1.252228	43.264	156.775
1.255761	43.253	156.689
1.258808	43.243	156.614
1.261872	43.237	156.554
1.265467	43.232	156.495
1.268567	43.228	156.444
1.271684	43.224	156.393
1.275343	43.218	156.331
1.278498	43.214	156.278
1.281671	43.209	156.224
1.285395	43.203	156.159
1.288607	43.198	156.103
1.291837	43.193	156.047
1.295628	43.187	155.979
1.298898	43.181	155.920
1.302187	43.176	155.861
1.306048	43.169	155.790
1.309378	43.163	155.728
1.312728	43.157	155.666
1.316660	43.149	155.591
1.320053	43.143	155.526
1.324036	43.135	155.449
1.327471	43.128	155.382
1.330928	43.121	155.314
1.334986	43.113	155.233
1.338488	43.106	155.162
1.342010	43.098	155.090
1.346147	43.089	155.005
1.349716	43.081	154.930
1.353306	43.072	154.855
1.357523	43.062	154.764
1.361162	43.054	154.686
1.364823	43.045	154.606
1.369123	43.034	154.511
1.372834	43.024	154.427
1.376568	43.014	154.343
1.380954	43.002	154.242
1.384739	42.992	154.154
1.388548	42.981	154.064
1.393023	42.970	153.975
1.396885	42.960	153.905
1.400772	42.950	153.834
1.405339	42.938	153.749
1.409281	42.927	153.675
1.413248	42.916	153.600
1.417910	42.903	153.511
1.421934	42.892	153.432
1.425984	42.880	153.353
1.430744	42.866	153.258
1.434853	42.853	153.176
1.438990	42.840	153.092
1.443851	42.825	152.992
1.448048	42.811	152.904
1.452274	42.797	152.815
1.457241	42.780	152.709
1.461529	42.765	152.616
1.465847	42.749	152.522
1.470923	42.731	152.410
1.475305	42.714	152.311
1.479719	42.697	152.211
1.484907	42.677	152.091
1.489388	42.659	151.987
1.493901	42.640	151.880
1.499206	42.618	151.753
1.503788	42.598	151.642
1.508403	42.578	151.528
1.513829	42.561	151.418
1.518517	42.548	151.330
1.523238	42.536	151.241
1.528790	42.521	151.134
1.533587	42.507	151.041
1.539228	42.491	150.930
1.544101	42.477	150.833
1.549011	42.462	150.734
1.554786	42.444	150.616
1.559775	42.429	150.513
1.564803	42.412	150.408
1.570716	42.393	150.282
1.575827	42.375	150.172
1.580976	42.357	150.060
1.587034	42.336	149.926
1.592269	42.316	149.808
1.597546	42.297	149.688
1.603753	42.273	149.545
1.609119	42.251	149.420
1.614527	42.229	149.291
1.620891	42.203	149.138
1.626392	42.179	149.004
1.631937	42.155	148.866
1.638463	42.125	148.702
1.644105	42.105	148.584
1.649793	42.087	148.473
1.656487	42.065	148.342
1.662276	42.046	148.226
1.668113	42.026	148.108
1.674983	42.002	147.967
1.680924	41.980	147.844
1.686915	41.958	147.717
1.693968	41.931	147.566
1.700069	41.907	147.434
1.706221	41.882	147.299
1.713465	41.852	147.137
1.719732	41.826	146.995
1.726052	41.798	146.850
1.733495	41.765	146.676
1.739934	41.735	146.523
1.746430	41.704	146.367
1.754080	41.667	146.180
1.760700	41.634	146.019
1.767379	41.606	145.887
1.775246	41.572	145.728
1.782054	41.542	145.590
1.788924	41.510	145.448
1.797018	41.473	145.278
1.804023	41.439	145.128
1.811093	41.404	144.976
1.819423	41.362	144.793
1.826634	41.324	144.633
1.833913	41.285	144.468
1.842490	41.237	144.271
1.849917	41.195	144.098
1.858671	41.144	143.891
1.866251	41.098	143.708
1.873903	41.051	143.521
1.882924	40.993	143.314
1.890737	40.940	143.163
1.898626	40.886	143.009
1.907927	40.821	142.824
1.915984	40.763	142.662
1.924120	40.702	142.496
1.933715	40.629	142.298
1.942027	40.564	142.124
1.950424	40.496	141.946
1.960327	40.414	141.733
1.968908	40.341	141.546
1.977577	40.265	141.354
1.987803	40.173	141.125
1.996667	40.091	140.923
2.005623	40.006	140.716
2.016189	39.909	140.479
2.025350	39.826	140.278
2.034607	39.740	140.072
2.045531	39.636	139.824
2.055003	39.543	139.606
2.064578	39.446	139.382
2.075879	39.329	139.113
2.085679	39.224	138.876
2.095588	39.114	138.631
2.107286	38.981	138.337
2.117433	38.862	138.077
2.127693	38.738	137.809
2.139809	38.605	137.553
2.150321	38.490	137.341
2.160954	38.371	137.123
2.173511	38.225	136.860
2.184410	38.094	136.628
2.195434	37.958	136.387
2.208459	37.792	136.096
2.219765	37.642	135.838
2.231204	37.485	135.569
2.244722	37.292	135.243
2.256459	37.118	134.952
2.268337	36.944	134.681
2.282378	36.735	134.368
2.294572	36.544	134.089
2.306916	36.343	133.799
2.321510	36.091	133.447
2.334188	35.861	133.132
2.347025	35.614	132.806
2.362206	35.304	132.410
2.375399	35.016	132.060
2.391003	34.605	131.908
2.404566	34.212	131.909
2.418304	33.799	131.957
2.434560	33.293	132.086
2.448692	32.842	132.270
2.463012	32.378	132.533
2.479960	31.826	132.952
2.494700	31.350	133.416
2.509639	31.088	133.931
2.527326	30.929	134.538
2.542713	30.803	135.076
2.558313	30.686	135.629
2.576788	30.563	136.290
2.592865	30.469	136.867
2.609171	30.386	137.454
2.628489	30.302	138.147
2.645306	30.363	138.400
2.662368	30.438	138.618
2.682588	30.526	138.869
2.700196	30.602	139.083
2.718066	30.678	139.295
2.739254	30.768	139.539
2.757711	30.830	139.728
2.776450	30.870	139.889
2.798676	30.918	140.076

